lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,method,ra,age_days,trial_order,session_error,session_error_type,notes,second_session,lang_group,lang1,lang1_exposure,lang2,lang2_exposure,lang3,lang3_exposure,caregiver_seat,macarthur_ladder,parenta_gender,parenta_education,parentb_gender,parentb_education,preterm,days_preterm,prev_earinfection,curr_earinfection,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,sib1_age,sib1_gender,sib2_age,sib2_gender,sib3_age,sib3_gender,sib4_age,sib4_gender,tod,season,race_ethnicity,gender,lang4,lang4_exposure,bilingual_nae,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,beard,ratype,childcare,visits,household_size,last_feed_min,last_sleep_min,termtime,popnum,popkm2,subid_unique
babylabreading,mb9,training,train2,-2.0,13.8,18.0,noerror,,single screen,JL,408.0,4.0,noerror,,,N,Bilingual,Chinese,70.0,English,30.0,,,caregiver,7.0,M,16,F,16,term,,N,N,N,,N,,9,M,,,,,,,,,Asian,M,,,,,,,,,,,,,,,,,babylabreading:mb9
babylabvuw,s13,Training,Train1,-2.0,16.717,18.021,noerror,,SingleScreen,Petra,196.0,1.0,noerror,,,N,Monolingual,English,95.0,Te Reo,2.0,German,2.0,caregiver,7.0,F,16.0,M,16,term,,N,N,N,,N,,,,,,,,,,1130.0,Spring,NZ European,M,,,,,,,no_beard,undergraduate,,,,,,in session,73842.0,78.0,babylabvuw:s13
ldlottawa,mbms77,ADS,ADS6,12.0,,,error,Experimenter,single screen,JP,,2.0,error,Experimenter,Missing consent form,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ldlottawa:mbms77
weltentdeckerzurich,mb13333,ADS,ADS7,4.0,3.67,6.15,noerror,,Eyetracking,Leonie,410.0,4.0,noerror,,,N,Monolingual,Swissgerman,98.0,Highgerman,1.0,English,1.0,seat,,M,12,F,17,preterm,28.0,N,N,N,,N,,,,,,,,,,1000,Fall,,F,,,0.0,,,preferred,no_beard,undergraduate,"goes to dsaycare 2 days per�week, 9 hours",,,,,in session,332228.0,78.0,weltentdeckerzurich:mb13333
bllumanitoba,1817,training,train1,-2.0,16.878,18.35,noerror,,HPP,Kelsey,277.0,1.0,noerror,,,N,monolingual,English,91.0,Spanish,5.0,French,4.0,caregiver,8.0,F,18.0,M,16,term,,N,N,N,,N,,,,,,,,,,1230.0,Summer,Canadian-Columbian,M,,,91.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with mom.,,2.0,,,in session,214830.0,77.0,bllumanitoba:1817
babylabyork,eoi820,IDS,IDS1,2.0,14.7,14.7,noerror,,SingleScreen,CC,342.0,2.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,6.0,F,17.0,M,15,term,,N,N,N,,N,,,,,,,,,,,Summer,,M,,,,,,,no_beard,postgraduate,,,,,,not in session,,,babylabyork:eoi820
babylabpotsdam,b7003,ADS,ADS6,12.0,2.405,4.408,noerror,,SingleScreen,Katharina,249.0,2.0,noerror,,okay - child relatively restless,N,monolingual,German,100.0,,,,,caregiver,7.0,F,14.0,M,14,term,,N,N,N,,N,,5,M,,,,,,,11:30:00,spring,,F,,,,,,,no_beard,,,,,,,,,,babylabpotsdam:b7003
babylabkingswood,mb8743,IDS,IDS5,10.0,4072.0,,No error,No error,HPP,AZ,397.0,4.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,,F,15.0,M,19,term,,No,No,No,No,No,No,,,,,,,,,,,Caucasian,F,,,,,,No,,,,,,,,,,,babylabkingswood:mb8743
babylabplymouth,mb1204,ADS,ADS4,11.0,2.2,5.88,noerror,,HPP,Abbey,389.0,4.0,noerror,,,N,monolingual,english,100.0,,,,,caregiver,3.0,F,14.0,M,14,term,,N,N,N,,N,,,,,,,,,,,Summer,british,F,,,,,,,no_beard,undergraduate,,,,,,not in session,,,babylabplymouth:mb1204
pocdnorthwestern,mb4,IDS,IDS6,15.0,3.712120000000001,9.566,noerror,,Eyetracking,Brooke,440.0,3.0,noerror,,good baby,N,Monolingual,English,100.0,,,,,caregiver,9.0,F,22,M,19,term,,No,No,N,,N,,12,M,7,F,,,,,,Summer,Caucasian,M,,,,,,,no_beard,postgraduate,,,,,,not in session,,,pocdnorthwestern:mb4
babylabuclajohnson,10449,ADS,ADS8,15.0,3.78,5.79,noerror,,Eyetracking & Online Coding,SB,389.0,3.0,noerror,,,N,Monolingual,English,100.0,,,,,Caregiver,7.0,F,20.0,M,18,Term,,N,N,N,,N,,5,M,2.0,F,,,,,,,"Caucasian, Black",M,,,,,,,,,,,,,,,,,babylabuclajohnson:10449
lscppsl,27lscppsl,ADS,ADS7,5.0,941.0,3037.0,noerror,,Eyetracking,Naomi,392.0,3.0,noerror,,first and last trial over 18 sec,N,monolingual,french,100.0,,,,,caregiver,,M,20,F,17,term,,Y,N,N,,N,,2,F,,,,,,,10h30,spring,,M,,,,,,french,no_beard,postgraduate,With the nanny during the week,"NA (Parfois le weekend, des amis)",,3h00,3h00,in session,2642462.0,1932235.0,lscppsl:27lscppsl
irlconcordia,mb12s08,training,train2,-1.0,1.32,8.737,error,trial should have ended earlier,eyetracking,SPI,381.0,3.0,noerror,,,N,monolingual,english,99.0,french,0.0,spanish,0.0,caregiver,6.0,F,15.0,M,15.0,term,,N,N,N,,N,,3,M,,,,,,,1030.0,summer,aboriginal,F,,,99.0,regularly,regularly,preferred,,graduate,,,,,,not in session,,,irlconcordia:mb12s08
lppparisdescartes2,mb08ml,IDS,IDS2,9.0,6179.0,18.0,noerror,,HPP,,240.0,4.0,error,nodata,Trials 11 and 12 really agitated,N,monolingual,french,100.0,additional:sign laguage,,,,caregiver,,F,,M,,term,,no,no,no,,no,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,lppparisdescartes2:mb08ml
babylabparisdescartes1,lpp11o11,IDS,finalIDS3new,6.0,4.588,6.588,noerror,,HPP,Katie,425.0,1.0,,,,N,Monolingual,French,100.0,,,,,caregiver,,M,,F,17,term,,No,No,N,,N,,,,,,,,,,1600,Summer,,M,,,,,,,no_beard,postgraduate,daycare,,,,,,,,babylabparisdescartes1:lpp11o11
udssaarland,37,ADS,ADS-3,8.0,7.1096529961,9.1130280495,noerror,,SingleScreen,Exp2,414.0,2.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,,,,,,term,,N,N,N,,N,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,udssaarland:37
islnotredame,p25mb8,ADS,ADS7,4.0,8.337,10.985,noerror,,HPP,JH,367.0,4.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,Caregiver,3.0,F,14.0,M,12.0,term,,N,N,N,,N,,10,F,14,M,15.0,F,,,1100.0,Summer,White,F,,,,,,,no_beard,other,,,5.0,,,not in session,,,islnotredame:p25mb8
labunam,5772,IDS,IDS5,9.0,1104.0,7982.0,noerror,,eye-tracking,,352.0,2.0,No error,,,N,monolingual,spanish,100.0,,,,,caregiver,,f,10,m,17,Term,,N,N,N,N,N,N,,,,,,,,,,,hispanic/latin,f,,,,,,,,,yes,,,,,,,,labunam:5772
langlabucla,mb320,ADS,ADS-8,15.0,5.632,7.644,noerror,,HPP,VM,142.0,4.0,noerror,,,N,monolingual,English,99.0,Mandarin,1.0,,,caregiver,,F,16,M,16,term,,N,N,N,,N,,2,F,,,,,,,,,Asian,F,,,,,,,,,,,,,,,,,langlabucla:mb320
babylabkonstanz,mb15,IDS,IDS6,13.0,13.4,15.91,noerror,,HPP,Ka,208.0,3.0,noerror,,,N,Monolingual,German,100.0,,,,,caregiver,4.5,F,18.0,M,16,term,,No,No,N,,,,,,,,,,,,,,Caucasian,M,,,,,,,no,PhD-student,,,,,,,,,babylabkonstanz:mb15
purdueinfantspeech,4340,ADS,ADS4,12.0,,,error,fussed,HPP,RAZ,373.0,3.0,1,fussed out,,N,monolingual,English,100.0,,,,,caregiver,,F,16,M,18,full,10.0,1 at time of appt in R ear,Yes,N,,N,,,,,,,,,,,,White,F,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4340
lppparisdescartes2,mb05sm,IDS,IDS7,13.0,1448.0,18.0,noerror,,HPP,,229.0,1.0,Noerror,,,N,monolingual,french,100.0,,,,,caregiver,,F,,M,,term,,no,no,no,,no,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,lppparisdescartes2:mb05sm
bllumanitoba,3901,ADS,ADS6,11.0,7.743,9.743,error,fussy baby,HPP,Mercedes,366.0,1.0,noerror,,Very wiggly baby. Study was paused between trial 12 and 13.,N,monolingual,English,97.0,French,3.0,,,caregiver,7.0,F,18.0,M,18,term,,N,N,N,,N,,,,,,,,,,1330.0,Winter,Caucasian,F,,,97.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with mom.,,2.0,,,in session,186930.0,80.0,bllumanitoba:3901
callab,callab45,training,training,-2.0,11.8283386230469,17.71044921875,noerror,,eye-tracking,Ben,380.0,1.0,noerror,,,N,Monolingual,English,100.0,,,,,Caregiver,,F,18,,18,Term,,Y,N,N,,N,,,,,,,,,,,,African American/Hispanic/White,F,,,,,,,,staff,,,,,,,,,callab:callab45
bllumanitoba,1399,IDS,IDS2,9.0,5.199,7.21,noerror,,HPP,Kelsey,303.0,4.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,6.0,F,17.0,M,14,term,,N,N,N,,N,,,,,,,,,,1300.0,Summer,White,M,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with mom.,,2.0,,,not in session,175532.0,78.0,bllumanitoba:1399
babylableiden,mb06b,IDS,IDS7,14.0,7.4,11.22,noerror,,HPP,Anna,359.0,2.0,noerror,,,N,Monolingual,Dutch,99.0,English,1.0,,,caregiver,8.0,M,18.0,F,20,term,,N,N,N,,N,,,,,,,,,,,,,M,,,,,,,,undergraduate,daycare - 2 days a week,,,,,,,,babylableiden:mb06b
kokuhamburg,mb02,ADS,ADS4,7.0,,,error,experiment ended early,Eyetracking,Katinka,420.0,2.0,noerror,,,N,Monolingual,German,100.0,,,,,caregiver,,F,16.0,M,18.0,term,,No,No,N,,N,,3,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,kokuhamburg:mb02
babylabpotsdam,b6846,IDS,IDS3,5.0,10.707,10.707,noerror,,HPP,Nina,361.0,2.0,noerror,,often only eye movements (no head turns) - at the end uneasy,N,monolingual,German,100.0,,,,,caregiver,8.0,F,16.0,M,16,preterm,7.0,Y,N,N,,N,,,,,,,,,,11:30:00,spring,,F,,,,,,,no_beard,,,,,,,,,,babylabpotsdam:b6846
trainorlab,s07,ADS,ADS3,7.0,13.4889,18.0005,noerror',,HPP,Haley,266.0,3.0,error,error in program,Lookaway time set to 3000 ms,N,Monolingual,English,100.0,,,,,caregiver,,F,16,M,12,term,,No,No,No,,N,,,,,,,,,,,Fall,,F,,,,,,,no_beard,postgraduate,,,,,,in session,,,trainorlab:s07
lcdfsu,lcd025,test-IDS,3IDS.wav,8.0,,,error,eyetracker not working,Eyetracking,Megan F,280.0,1.0,error,eyetracker not functioning,eyeytracker would not track eyes/recalibrated 6+ times to no avail,N,Monolingual,English,100.0,,,,,caregiver,6.0,F,18,F,18,preterm,14.0,N,N,N,,N,,,,,,,,,,,,White,F,,,,,,,,,,,,,,,,,lcdfsu:lcd025
langlabucla,mb1203,IDS,IDS-6,13.0,4.031,6.05,noerror,,HPP,VM,447.0,3.0,noerror,,,N,bilingual,English,36.0,Spanish,63.0,,,caregiver,,F,16,M,12,term,,Y,N,N,,N,,,,,,,,,,,,Hispanic,M,,,,,,,,,,,,,,,,,langlabucla:mb1203
purdueinfantspeech,4251,ADS,ADS3,5.0,8.18,13.84,noerror,,HPP,KI,283.0,1.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,16,M,16,full,13.0,0,No,N,,N,,,,,,,,,,,,white,M,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4251
purdueinfantspeech,4228,IDS,IDS7,13.0,,,error,fussed,HPP,GK,395.0,1.0,1,cried,,N,monolingual,English,100.0,,,,,caregiver,,F,16,M,16,full,0.0,0,No,N,,N,,,,,,,,,,,,White,F,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4228
childlabmanchester,mb29,training,train1,-2.0,15.632,18.004,noerror,,eyetracking,Alissa,228.0,1.0,noerror,,North American speaking experimenter present.  Good.,N,Monolingual,English,,,,,,seat,,,,,,N,,,,N,,N,,,,,,,,,,,Summer,,F,,,,,,,no_beard,lecturer,,,,,,not in session,1761505.0,543.0,childlabmanchester:mb29
infantlanglabutk,mbir134fs7,ADS5,ADS5,1.0,11022.0,14199.0,error,exclude,hpp,SP,406.0,4.0,Error,Born 25 days early,,,Monolingual,English,100.0,,,,,caregiver,6.0,F,20,M,18,Preterm,26.0,0,N,N,,N,N,,,,,,,,,,,White,F,,,,,,,,,,,,,,,,,infantlanglabutk:mbir134fs7
chosunbaby,h63o20,IDS,IDS6,13.0,6.903,6.903,noerror,,HPP,NAM,369.0,3.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,,M,,term,,no,no,N,,N,,,,,,,,,,,Winter,Asian,F,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h63o20
chosunbaby,h36o11,IDS,IDS8,16.0,15.254,15.254,noerror,,HPP,NAM,392.0,1.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,16,M,16,preterm,49.0,no,no,N,,N,,,,,,,,,,,Fall,Asian,F,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h36o11
isplabmcgill,m23,ADS,ADS2,3.0,3.18,5.21,noerror,,HPP,AH,419.0,2.0,noerror,,,N,monolingual,French,100.0,,,,,caregiver,,F,23.0,M,17.0,term,,N,N,N,,N,,,,,,,,,,1500.0,Fall,,M,,,,,,,no_beard,undergraduate,daycare,4.0,2.0,60,90,in session,,,isplabmcgill:m23
cogdevlabbyu,p13,training,train2,-2.0,8.7,8.7,noerror,,eye-tracking,Brett S.,232.0,1.0,noerror,,Trial 3,N,monolingual,English,99.0,Spanish,1.0,,,caregiver,5.0,M,18,F,14,N,,N,N,N,,N,,8,M,2,M,,,,,,,White,M,,,,,,,,,,,,,,,,,cogdevlabbyu:p13
bllumanitoba,1417,ADS,ADS3,7.0,4.815,7.705,noerror,,HPP,Kelsey,266.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,5.0,F,15.0,M,16,term,,Y,N,N,,N,,,,,,,,,,1430.0,Summer,,M,,,100.0,regularly,regularly,preferred,no_beard,undergraduate,Baby stays home with mom.,,2.0,,,not in session,104699.0,80.0,bllumanitoba:1417
infantlanglabutk,mb1r121fs1,ADS4,ADS4,8.0,3711.0,5726.0,noerror,,hpp,SP,388.0,1.0,noerror,,,,Monolingual,English,100.0,,,,,caregiver,7.0,F,12,M,14,Term,,0,N,N,,N,N,,,,,,,,,,,White,F,,,,,,,,,,,,,,,,,infantlanglabutk:mb1r121fs1
infantlanglabutk,mb1r81fs1,ADS8,ADS8,15.0,4000.0,6007.0,noerror,,hpp,SP,265.0,1.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,6.0,M,16,F,13,preterm,5.0,0,N,N,,N,,,,,,,,,,,,white,F,,,,,,,,,,,,,,,,,infantlanglabutk:mb1r81fs1
babylabbrookes,mb105,IDS,IDS7,3.0,17.685,,noerror,,Single Screen,N1,155.0,4.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,,F,16.0,M,,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb105
udssaarland,28,training,training,2.0,10.268132925,18.0154900551,noerror,,SingleScreen,Exp2,371.0,3.0,noerror,,,N,monolingual,German,100.0,,,,,caregiver,7.0,F,18,M,18,term,,N,N,N,,N,,8,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,udssaarland:28
infantllmadison,mb025,IDS,IDS4,7.0,5.264,9.084,noerror,,HPP,SO,254.0,1.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,caregiver,5.0,F,18.0,M,16.0,term,,N,N,N,,N,,,,,,,,,,1100.0,Summer,White and Black,F,,,,,,,no_beard,other,,,,,,not in session,110139.0,82.0,infantllmadison:mb025
cdcceu,mb38,IDS,IDS8,15.0,4.2,7.18333,noerror,,Eyetracking,"Mikolaj,Zsu",379.0,3.0,noerror,,"Mikolaj without beard. Zsu is a full-time employed RA, Mikolaj run the experiment. Zsu talked to the mum, gathered questionnaire data.",N,Monolingual,Hungarian,100.0,,,,,caregiver,,F,22,,,N,,N,N,N,,N,,,,,,,,,,1100.0,Winter,,M,,,0.0,,,preferred,no_beard,other,"With parent at home, and sometimes with grandparent (3*2hrs per week)",22,3.0,60,30,,,,cdcceu:mb38
isplabmcgill,m29,IDS,IDS3,7.0,16.72,18.01,noerror,,HPP,AJ,435.0,4.0,noerror,,,N,monolingual,French,95.0,English,5.0,,,caregiver,,F,22.0,M,13.0,term,,N,N,N,,N,,4,F,,,,,,,1530.0,Winter,,M,,,,,,,no_beard,graduate,mom,20.0,2.0,210,330,in session,,,isplabmcgill:m29
babylabpotsdam,b6893,training,train1,-1.0,13.033,17.106,noerror,,SingleScreen,Nina,276.0,4.0,noerror,,towards the end shorter looking times - trial start without looking in trial 9,N,monolingual,German,99.0,English,1.0,,,caregiver,4.0,F,10.0,M,10,term,,N,N,N,,Y,cannot crawl - is in physiological treatment,4,M,,,,,,,10:30:00,spring,,M,,,,,,,no_beard,,,,,,,,,,babylabpotsdam:b6893
wsigoettingen,m102,IDS,IDS1,2.0,7.63,,noerror,,SingleScreen,Christine,127.0,2.0,error,language exclusion,lap,N,bilingual,German,85.0,English,15.0,,,caregiver,,M,17,F,17,preterm,7.0,N,N,N,,N,,2,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,wsigoettingen:m102
babylabbrookes,mb90,IDS,IDS5,9.0,3.12,,noerror,,Single Screen,N1,262.0,2.0,noerror,,0,N,Monolingual,English,100.0,,,,,caregiver,,F,18.0,M,18,term,,No,No,N,,N,,,,,,,,,,,,,M,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb90
pocdnorthwestern,mb20,ADS,ADS1,7.0,0.0,2.016,noerror,,Eyetracking,Brooke,398.0,3.0,noerror,,stopped to breast feed after first trial,N,Monolingual,English,100.0,English,,,,caregiver,8.0,F,14,M,14,term,,No,No,N,,N,,6,M,,,,,,,,Fall,Caucasian,F,,,,,,,no_beard,postgraduate,,,,,,not in session,,,pocdnorthwestern:mb20
chosunbaby,h42y29,training,train1,-2.0,3.64,3.64,error,infant too old,HPP,NAM,279.0,3.0,noerror,,over 9 months,N,monolingual,Korean,100.0,,,,,caregiver,,F,14,M,14,term,,yes,no,N,,N,,,,,,,,,,,Fall,Asian,M,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h42y29
callab,callab41,ADS,ADS6,11.0,2.66525268554688,4.63226318359375,noerror,,eye-tracking,Ben,371.0,1.0,noerror,,,N,Monolingual,English,100.0,,,,,Caregiver,,F,18,,18,Term,,N,N,N,,N,,6,F,,,,,,,,,Caucasian,M,,,,,,,,staff,,,,,,,,,callab:callab41
wsigoettingen,m313,IDS,IDS1,1.0,7.32,,noerror,,SingleScreen,Natalie,278.0,1.0,noerror,,"lap, got soother while testing",N,monolingual,German,98.0,English,2.0,,,caregiver,,F,17,M,21.0,preterm,1.0,N,N,N,,N,,2.0,M,,,,,,,,,,F,,,,,,,,,,,,,,,,,wsigoettingen:m313
infantllmadison,mb077,ADS,ADS3,7.0,18.022,18.016,noerror,,HPP,MZ,348.0,1.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,7.0,F,18.0,M,16.0,term,,N,N,N,,N,,3,F,,,,,,,930.0,Fall,White and Black,F,,,,,,,beard,graduate,,,,,,in session,71935.0,85.0,infantllmadison:mb077
bcrlunlv,mb2504,ADS,ADS7,4.0,4.633,7.5,noerror,,SingleScreen,YR,392.0,4.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,14.0,M,16,term,,N,N,N,,N,,14.0,F,,,,,,,,Summer,Caucasian,M,,,,,,,no_beard,undergraduate,,,,,,,,,bcrlunlv:mb2504
madlabucsd,mb13,IDS,IDS6,12.0,4.36,6.36,noerror,,SingleScreen,Michelle,235.0,1.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,6.0,F,18,M,18,term,,N,N,N,,N,,,,,,,,,,,,White,M,,,,,,,,,,,,,,,,,madlabucsd:mb13
labunam,5781,ADS,ADS8,15.0,2786.0,8619.0,noerror,,eye-tracking,,243.0,1.0,No error,,,N,monolingual,spanish,100.0,,,,,caregiver,,f,12,m,12,Term,,N,N,N,N,N,N,,,,,,,,,,,hispanic/latin,m,,,,,,,,,no,,,,,,,,labunam:5781
babylabbrookes,mb101,ADS,ADS4,7.0,6.464,,noerror,,Single Screen,N1,180.0,2.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,,F,18.0,M,20,term,,No,No,N,,N,,3,F,,,,,,,,,,M,,,,,,,no_beard,postgraduate,Family,,,,,,,,babylabbrookes:mb101
babylabprinceton,manybabies032,ADS,ADS1,6.0,3.507,5.519,noerror,,HPP,EF,396.0,4.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,caregiver,7.0,F,14.0,M,18,N,,N,N,N,,N,,,,,,,,,,1300,Winter,white,M,,,,,,,no_beard,other,at home with mom,30.0,2.0,1.0,1.5,not in session,44430.0,79.0,babylabprinceton:manybabies032
babylabprinceton,manybabies022,training,train1,-1.0,4.395,8.23,noerror,,HPP,EF,431.0,2.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,caregiver,9.0,F,19.0,M,19,N,,N,N,N,,N,,3,F,,,,,,,1500,Fall,white,F,,,,,,,no_beard,other,at home with parent,5.0,3.0,0.5,1.0,in session,33297.0,80.0,babylabprinceton:manybabies022
babylabvuw,s15,ADS,ADS7,3.0,7.045,7.045,noerror,,SingleScreen,Petra,187.0,3.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,,,,,,term,,N,N,N,,N,,6.0,F,3,F,,,,,1030.0,Spring,NZ European,F,,,,,,,no_beard,undergraduate,,,,,,in session,15747.0,80.0,babylabvuw:s15
dcnlabtennessee,mb005,IDS,IDS2,3.0,3.54,18.03,noerror,,eye-tracking,KR,389.0,1.0,noerror,,,n,Monolingual,English,100.0,na,,na,,Caregiver,6.0,m,14,f,14,preterm,5.0,no,no,no,,no,,8,f,6,f,na,na,na,na,,,white,m,,,,,,,,,,,,,,,,,dcnlabtennessee:mb005
purdueinfantspeech,4250,IDS,IDS5,9.0,11.3,13.98,noerror,,HPP,RAZ,314.0,2.0,noerror,,,N,monolingual,English,98.0,Spanish,2.0,,,caregiver,,F,18,M,16,full,0.0,0,No,N,,N,,,,,,,,,,,,white,M,,,,,,,,Graduate,,,,,,,,,purdueinfantspeech:4250
lcduleeds,mb12,training,train1,-1.0,7.696,11.106,noerror,,eye-tracking,LM,412.0,4.0,noerror,,,N,monolingual,BritEnglish,100.0,,,,,caregiver,,F,17,M,13,term,,N,N,N,,N,,,,,,,,,,930,Fall,WhiteBritish/Irish,M,,,,,,,no_beard,postgraduate,5 days with mother,28,2,60.0,30.0,not in session,,,lcduleeds:mb12
babylabprinceton,manybabies017,IDS,IDS2,3.0,13.174,15.18,noerror,,HPP,EF,403.0,1.0,noerror,,"RA is a full time lab manager, post-undergrad",N,monolingual,English,100.0,,,,,caregiver,7.0,F,16.0,M,16,N,,N,N,N,,N,,6,F,5.0,M,,,,,1100,Summer,white,F,,,,,,,no_beard,other,at home with mom and sometimes siblings/dad,25.0,4.0,1.5,0.5,not in session,118734.0,80.0,babylabprinceton:manybabies017
babylabyork,eoi815,IDS,IDS5,2.0,17.9,17.9,noerror,,SingleScreen,CC,279.0,4.0,noerror,,,N,Monolingual,English,100.0,,,,,caregiver,4.0,F,17.0,M,18,term,,N,N,N,,N,,,,,,,,,,,Summer,,M,,,,,,,no_beard,postgraduate,,,,,,not in session,,,babylabyork:eoi815
trainorlab,s33,IDS,IDS1,1.0,2.7366,4.7396,error',"""procedure error""",HPP,Kristie,260.0,1.0,error,error in procedure,"Device for masking music broken, experimenter improvised and used own iphone and own music to mask",N,Monolingual,English,90.0,Polish,10.0,,,caregiver,,F,18,M,16,term,,No,No,No,No,N,,,,,,,,,,,Winter,,M,,,,,,,no_beard,undergraduate,,,,,,in session,,,trainorlab:s33
musdevutm,mb26,ADS,ADS3,7.0,3.931,3.931,noerror,,HPP,Maha,241.0,3.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,20,,16,term,,N,N,N,N,N,N,,,,,,,,,1100,Summer,,M,,,,,,,no_beard,undergraduate,,,,,,in session,123501.0,67.0,musdevutm:mb26
musdevutm,mb37,training,train1,-2.0,10.25,10.998,noerror,,HPP,Maha,183.0,4.0,noerror,,,N,monolingual,English,100.0,,,,,caregiver,,F,14,M,14,term,,N,N,N,N,N,N,,,,,,,,,1200,Summer,,F,,,,,,,no_beard,undergraduate,,,,,,in session,215936.0,87.0,musdevutm:mb37
kyotobabylab,kbl013,IDS,IDS6,12.0,1.67,21.0,noerror,,Eyetracking,Mitsuhiko,231.0,1.0,noerror,,We used old stimuli (33 second version),N,Monolingual,Japanese,100.0,,,,,caregiver,,m,graduate school (master),f,Undergraduate school,term,,no,no,no,,no,,,,,,,,,,,,Asian,m,,,,,,,,,,,,,,,,,kyotobabylab:kbl013
babylablangessex,mb6910,ADS,ADS6,12.0,0.0,4.309,error,child did not look at the screen following AG,Eyetracking,Jade,187.0,2.0,noerror,,cried a little,N,Monolingual,English,100.0,,,,,Seat,6.0,F,13.0,M,16,Term,,no,no,no,,no,,,,,,,,,,,,,M,,,,,,,,undergraduate,,,,,,,,,babylablangessex:mb6910
weltentdeckerzurich,mb13490,ADS,ADS3,7.0,3.17,5.49,noerror,,Eyetracking,Leonie,442.0,3.0,noerror,,child cried a little,N,Monolingual,Swissgerman,98.0,Italian,2.0,,,seat,,F,17,M,17,term,,N,N,N,,N,,,,,,,,,,930,Fall,,F,,,0.0,,,preferred,no_beard,undergraduate,"goes to daycare since age of 7 months, 2 days per week, 9 hours",,,,,in session,310942.0,74.0,weltentdeckerzurich:mb13490
childlabmanchester,mb20,,,16.0,,,error,,eyetracking,Alissa/Naomi,295.0,4.0,noerror,,North American speaking experimenter present.  a bit fussy but did ~3/4 of the blocks.  Hard to get her to look at the screen towards the end,N,Monolingual,English,,,,,,seat,,,,,,N,,,,N,,N,,,,,,,,,,,Spring,,F,,,,,,,no_beard,lecturer/graduate,,,,,,in session,1761505.0,543.0,childlabmanchester:mb20
babylabparisdescartes1,lpp19o11,ADS,finalADS4new,8.0,,,error,experiment ended early,HPP,Katie,366.0,1.0,,,just learned to walk,N,Monolingual,French,100.0,,,,,caregiver,,M,16.0,F,16,term,,1.0,No,N,,N,,4.0,F,,,,,,,1500,Summer,,M,,,,,,,no_beard,postgraduate,,,,,,,,,babylabparisdescartes1:lpp19o11
chosunbaby,h40y27,IDS,IDS7,3.0,3.439,3.439,noerror,,HPP,NAM,207.0,4.0,noerror,,,N,monolingual,Korean,100.0,,,,,caregiver,,F,12,M,16,term,,yes,no,N,,N,,,,,,,,,,,Fall,Asian,M,,,,,,,no_beard,postgraduate,,,,,,,,,chosunbaby:h40y27
